city,locality,bhk,area,bathrooms,floor,total_floors,property_age,parking,lift,balcony,security,gym,swimming_pool,garden,power_backup,furnishing,price
Mumbai,Bandra,3,1749,2,3,10,15,True,True,False,True,True,True,True,True,Unfurnished,42866698.60277539
Bangalore,HSR Layout,2,1304,2,13,15,18,False,True,True,True,True,True,False,True,Semi-Furnished,13548275.478771864
Delhi,Rohini,3,1459,3,24,25,6,True,True,False,True,True,False,False,True,Unfurnished,13672077.641090933
Mumbai,Bandra,3,1460,1,3,25,17,False,True,True,True,False,True,True,True,Semi-Furnished,35010040.16030169
Mumbai,Andheri,2,797,2,8,10,2,True,False,True,True,False,False,False,True,Unfurnished,15149622.594017144
Delhi,Saket,2,717,1,10,10,14,False,True,True,True,False,False,True,True,Semi-Furnished,9448529.493471868
Delhi,Saket,3,1436,3,4,10,0,False,True,True,True,False,True,True,True,Semi-Furnished,20537220.79990576
Pune,Baner,2,1075,1,5,10,17,False,True,True,True,False,False,True,True,Unfurnished,6508288.843398815
Pune,Hinjewadi,2,879,2,17,40,9,False,True,True,True,False,False,False,True,Semi-Furnished,5617995.004087544
Bangalore,Koramangala,2,788,1,2,10,13,False,True,True,True,True,False,False,True,Semi-Furnished,9380911.722258814
Mumbai,Andheri,1,520,1,9,10,0,True,True,True,False,False,False,False,True,Semi-Furnished,11674169.412407499
Delhi,Saket,3,1659,3,4,10,17,True,True,True,True,True,True,False,True,Fully Furnished,26549908.36599068
Delhi,Dwarka,2,976,1,8,10,0,True,True,False,True,True,False,False,True,Unfurnished,12787428.524777984
Pune,Viman Nagar,2,856,1,1,10,2,True,False,True,True,True,False,True,True,Semi-Furnished,8871551.63917443
Pune,Hinjewadi,2,1064,1,2,10,4,True,True,True,True,False,False,False,False,Fully Furnished,7568426.491123665
Bangalore,HSR Layout,2,1122,2,7,10,17,False,True,True,True,False,False,True,True,Semi-Furnished,10989432.203998312
Hyderabad,Kukatpally,2,832,1,1,10,12,True,True,True,True,True,False,False,True,Fully Furnished,5620885.945656383
Mumbai,Andheri,1,597,1,2,4,6,False,False,True,True,True,True,False,True,Semi-Furnished,11157247.515111165
Delhi,Vasant Kunj,3,1843,3,5,10,9,True,True,True,True,False,True,True,False,Fully Furnished,28405246.216162693
Mumbai,Andheri,2,1200,2,3,4,16,False,False,True,True,False,False,False,False,Semi-Furnished,19400388.914242804
Mumbai,Powai,4,2482,4,2,4,0,True,False,True,True,True,True,True,True,Fully Furnished,59677982.609377205
Hyderabad,Kukatpally,2,1164,1,4,40,18,True,True,True,True,False,False,True,True,Semi-Furnished,7016209.487893876
Pune,Kothrud,1,478,1,10,40,21,False,True,True,True,True,True,False,True,Fully Furnished,3702547.0802994017
Delhi,Vasant Kunj,3,1444,2,6,15,6,True,True,True,True,True,False,False,False,Fully Furnished,23050363.645384926
Pune,Kothrud,2,1183,2,27,40,5,False,True,True,True,False,True,False,False,Unfurnished,11160572.862037735
Pune,Viman Nagar,2,1102,2,8,25,11,True,True,True,True,True,False,True,True,Semi-Furnished,11254179.212516908
Hyderabad,Madhapur,4,2148,3,3,4,6,True,False,True,True,True,False,True,True,Semi-Furnished,20993951.770807073
Pune,Hinjewadi,2,707,1,1,15,12,True,True,True,False,False,True,True,False,Fully Furnished,4986767.400089112
Hyderabad,Madhapur,3,1497,2,3,4,8,True,False,True,True,True,True,False,True,Semi-Furnished,13984287.765679171
Bangalore,Indiranagar,2,1080,1,10,25,21,True,True,True,True,True,False,True,True,Fully Furnished,14872350.346683474
Bangalore,Koramangala,2,616,1,10,15,10,True,True,True,True,True,True,True,True,Semi-Furnished,7350791.695544057
Mumbai,Borivali,2,1492,2,4,15,7,True,True,True,True,False,False,False,False,Semi-Furnished,21875825.099666923
Bangalore,Whitefield,3,1589,2,8,15,19,True,True,True,True,False,False,False,True,Fully Furnished,12975499.489200775
Pune,Baner,3,1825,2,15,15,21,True,True,True,True,False,True,False,True,Unfurnished,13028169.859331718
Pune,Kothrud,3,1776,4,6,10,2,True,True,True,True,False,False,True,True,Semi-Furnished,15048972.558777295
Pune,Kothrud,2,886,2,10,10,16,False,True,False,True,True,False,True,True,Fully Furnished,6739361.97280287
